Wife_age,Wife_education,Husband_education,Number_children,Wife_religion,Wife_type_job,Husband_occupation,Standard_of_living,Media_exposure,Contraceptive_method_used
44,high,high,5,Islam,TYPE_1,1,high,good,Long_term
29,high,high,1,Islam,TYPE_4,2,high,good,Long_term
36,low_medium,low,6,Islam,,2,low,good,Long_term
29,high,high,2,Islam,TYPE_3,1,medium,good,Long_term
37,low_medium,medium,7,Islam,,3,high,good,Long_term
28,medium,medium,3,Islam,,1,low_medium,good,Long_term
40,low_medium,medium,6,Islam,,1,low_medium,good,Long_term
33,high,high,4,Islam,,1,high,good,Long_term
22,high,high,1,Islam,,1,low_medium,good,Long_term
35,medium,high,5,Islam,TYPE_2,1,medium,no_good,Long_term
32,high,high,3,No_Islam,,3,medium,good,Long_term
35,high,high,5,Islam,TYPE_3,1,medium,good,Long_term
29,high,high,2,Islam,,1,high,good,Long_term
23,medium,medium,2,Islam,TYPE_1,3,high,good,Long_term
35,high,high,2,Islam,TYPE_1,1,high,good,Long_term
36,high,high,3,Islam,TYPE_2,2,high,good,Long_term
32,high,high,2,Islam,TYPE_5,1,high,good,Long_term
30,high,low,4,Islam,,3,medium,good,Long_term
36,high,high,4,No_Islam,,2,high,good,Long_term
33,high,high,3,Islam,,3,high,good,Long_term
33,medium,high,5,No_Islam,,3,medium,good,Long_term
43,low_medium,high,13,Islam,,2,medium,good,Long_term
35,medium,medium,6,Islam,,2,medium,good,Long_term
38,high,high,5,Islam,,1,medium,good,Long_term
25,medium,low,4,Islam,,3,low,good,Long_term
26,medium,medium,2,Islam,,3,low_medium,good,Long_term
24,high,high,1,Islam,,3,high,good,Long_term
22,medium,high,1,Islam,,4,high,good,Long_term
33,low_medium,medium,5,Islam,TYPE_3,2,low,good,Long_term
45,medium,medium,7,Islam,,3,high,good,Long_term
29,high,high,2,Islam,TYPE_3,1,medium,good,Long_term
47,low_medium,low_medium,7,Islam,,2,high,good,Long_term
36,medium,low_medium,6,Islam,,3,low_medium,good,Long_term
45,medium,medium,8,Islam,,2,medium,good,Long_term
47,high,high,6,Islam,TYPE_1,1,high,good,Long_term
43,medium,high,2,Islam,TYPE_5,2,high,good,Long_term
44,high,high,7,Islam,,3,low_medium,good,Long_term
24,low_medium,high,2,Islam,,3,medium,good,Long_term
28,high,high,2,Islam,TYPE_3,1,medium,good,Long_term
34,high,high,5,Islam,,3,high,good,Long_term
31,medium,high,4,Islam,,1,medium,good,Long_term
27,high,high,3,Islam,,1,high,good,Long_term
27,medium,medium,1,Islam,TYPE_4,3,high,good,Long_term
26,high,high,1,Islam,TYPE_5,1,medium,good,Long_term
36,medium,high,7,Islam,,2,low_medium,good,Long_term
35,high,high,4,No_Islam,,3,medium,good,Long_term
38,high,high,6,Islam,,3,medium,good,Long_term
44,high,high,7,Islam,,2,high,good,Long_term
25,high,high,1,Islam,,1,high,good,Long_term
25,high,high,2,No_Islam,,1,medium,good,Long_term
41,high,high,4,Islam,,1,high,good,Long_term
41,medium,high,5,Islam,,1,medium,good,Long_term
24,high,high,1,Islam,TYPE_2,1,high,good,Long_term
33,high,high,3,Islam,,3,medium,good,Long_term
29,high,high,3,Islam,TYPE_3,3,medium,good,Long_term
47,high,high,4,Islam,TYPE_4,1,high,good,Long_term
28,high,high,4,Islam,,1,medium,good,Long_term
21,low_medium,low_medium,1,Islam,,3,low_medium,good,Long_term
32,medium,medium,6,Islam,TYPE_3,3,medium,good,Long_term
30,medium,high,2,Islam,,1,high,good,Long_term
37,high,high,5,Islam,,3,high,good,Long_term
29,high,medium,4,Islam,TYPE_4,3,low_medium,good,Long_term
38,high,high,3,Islam,TYPE_1,1,high,good,Long_term
49,medium,medium,11,Islam,,1,high,good,Long_term
41,medium,medium,5,Islam,,1,high,good,Long_term
43,medium,high,5,Islam,,3,low_medium,no_good,Long_term
47,low,low,10,Islam,,3,medium,good,Long_term
22,high,high,1,Islam,,1,medium,good,Long_term
27,high,high,1,No_Islam,TYPE_4,1,high,good,Long_term
34,medium,high,2,No_Islam,,2,medium,good,Long_term
42,medium,medium,4,Islam,,2,high,good,Long_term
39,high,high,3,No_Islam,TYPE_3,1,high,good,Long_term
36,high,high,3,No_Islam,,2,high,good,Long_term
21,high,high,1,Islam,,2,low,good,Long_term
36,medium,high,4,No_Islam,TYPE_3,2,high,good,Long_term
25,low_medium,medium,1,Islam,TYPE_3,4,high,good,Long_term
41,high,high,4,No_Islam,TYPE_2,2,high,good,Long_term
32,high,high,4,No_Islam,TYPE_3,2,high,good,Long_term
41,high,high,4,No_Islam,TYPE_4,2,high,good,Long_term
43,high,high,3,No_Islam,,1,high,good,Long_term
35,high,high,3,Islam,,2,medium,good,Long_term
24,high,high,2,Islam,TYPE_1,1,medium,good,Long_term
43,high,high,6,Islam,,1,high,good,Long_term
48,high,high,7,No_Islam,,1,high,good,Long_term
28,high,high,2,Islam,,1,medium,good,Long_term
24,high,high,1,Islam,,1,high,good,Long_term
42,high,high,3,Islam,TYPE_1,1,high,good,Long_term
39,high,high,3,Islam,,1,high,good,Long_term
24,high,high,1,Islam,,1,high,good,Long_term
33,high,medium,5,Islam,,2,high,good,Long_term
29,high,high,2,Islam,,3,high,good,Long_term
44,high,high,5,Islam,,1,high,good,Long_term
17,high,high,1,Islam,,2,high,good,Long_term
35,medium,high,3,Islam,,2,low_medium,good,Long_term
32,medium,high,5,Islam,,1,low_medium,good,Long_term
27,high,high,2,Islam,TYPE_1,1,medium,good,Long_term
44,high,high,4,Islam,,1,high,good,Long_term
42,high,high,5,Islam,,1,high,good,Long_term
40,high,high,6,Islam,,1,medium,good,Long_term
44,high,high,3,Islam,,1,high,good,Long_term
33,high,high,5,Islam,,2,high,good,Long_term
35,low_medium,high,3,No_Islam,TYPE_1,3,high,no_good,Long_term
31,high,low_medium,2,No_Islam,,1,medium,good,Long_term
37,high,high,3,No_Islam,,3,high,good,Long_term
45,high,high,3,No_Islam,,2,high,good,Long_term
26,high,high,2,No_Islam,,1,high,good,Long_term
40,medium,high,2,No_Islam,,3,high,good,Long_term
30,high,high,1,No_Islam,,2,high,good,Long_term
36,medium,high,3,No_Islam,TYPE_1,3,high,good,Long_term
33,medium,high,3,No_Islam,,2,high,good,Long_term
41,high,high,5,No_Islam,,2,high,good,Long_term
45,medium,medium,6,No_Islam,,2,high,good,Long_term
48,high,high,6,No_Islam,,2,high,good,Long_term
35,high,high,3,No_Islam,TYPE_3,3,high,good,Long_term
37,high,high,4,No_Islam,TYPE_2,2,high,good,Long_term
46,high,high,3,No_Islam,TYPE_4,1,high,good,Long_term
38,high,high,4,No_Islam,,3,high,good,Long_term
30,medium,high,7,Islam,,2,high,good,Long_term
42,high,medium,7,Islam,TYPE_3,1,high,good,Long_term
35,low_medium,low_medium,6,Islam,,3,high,good,Long_term
34,high,high,6,Islam,,3,high,good,Long_term
37,high,high,4,Islam,,1,high,good,Long_term
38,high,high,6,Islam,,1,high,good,Long_term
30,medium,medium,2,Islam,,2,medium,good,Long_term
46,high,high,4,Islam,,1,high,good,Long_term
31,high,high,3,No_Islam,,2,high,good,Long_term
41,high,high,6,No_Islam,,1,high,good,Long_term
41,high,high,7,Islam,,2,high,good,Long_term
32,high,high,2,No_Islam,TYPE_2,2,high,good,Long_term
44,high,high,4,Islam,,1,high,good,Long_term
39,high,high,4,No_Islam,,1,high,good,Long_term
39,high,high,5,Islam,,1,high,good,Long_term
45,high,high,4,Islam,,1,high,good,Long_term
33,high,high,3,Islam,,1,high,good,Long_term
39,high,high,3,No_Islam,,1,high,good,Long_term
44,high,high,3,Islam,TYPE_1,1,high,good,Long_term
34,medium,medium,6,Islam,,3,high,good,Long_term
33,medium,medium,5,Islam,,3,high,good,Long_term
34,low_medium,low_medium,8,Islam,,2,low_medium,good,Long_term
27,medium,low_medium,5,Islam,,2,high,good,Long_term
47,low,low,8,Islam,,3,high,no_good,Long_term
25,low_medium,high,3,Islam,,1,high,no_good,Long_term
24,medium,high,5,Islam,,1,low_medium,no_good,Long_term
41,high,high,4,Islam,TYPE_2,1,high,good,Long_term
29,medium,medium,4,Islam,,3,high,good,Short_term
27,low_medium,low_medium,5,Islam,,3,low,good,Short_term
40,medium,high,5,Islam,,1,low_medium,good,Short_term
30,low_medium,low_medium,6,Islam,,3,low,good,Short_term
24,high,high,1,Islam,TYPE_3,1,high,good,Short_term
36,high,high,2,Islam,TYPE_5,1,high,good,Short_term
17,low_medium,low_medium,1,Islam,,3,low_medium,good,Short_term
28,low,low_medium,4,Islam,,2,medium,good,Short_term
27,low_medium,high,1,Islam,,1,high,good,Short_term
21,medium,medium,1,Islam,,3,medium,good,Short_term
30,low_medium,low_medium,4,Islam,,2,high,good,Short_term
48,high,high,16,Islam,,1,high,good,Short_term
29,low_medium,high,3,Islam,TYPE_3,3,medium,good,Short_term
29,high,high,2,Islam,,3,high,good,Short_term
20,medium,high,2,Islam,,1,medium,good,Short_term
28,high,high,1,Islam,,3,low_medium,good,Short_term
32,low_medium,medium,5,Islam,TYPE_3,2,medium,good,Short_term
27,medium,medium,1,Islam,TYPE_5,3,medium,good,Short_term
25,low_medium,medium,1,Islam,,3,low,good,Short_term
43,high,high,3,Islam,,1,high,good,Short_term
35,high,high,2,Islam,,2,high,good,Short_term
30,high,high,1,Islam,,1,high,good,Short_term
29,low,high,3,Islam,,4,high,no_good,Short_term
33,medium,high,8,Islam,,3,high,good,Short_term
37,medium,high,5,Islam,TYPE_1,2,high,good,Short_term
27,low_medium,high,3,Islam,,4,high,good,Short_term
33,low_medium,high,3,Islam,,2,high,good,Short_term
35,low_medium,medium,6,Islam,TYPE_5,3,medium,good,Short_term
20,medium,medium,2,Islam,,2,high,good,Short_term
26,low_medium,high,3,Islam,,3,high,good,Short_term
24,medium,medium,2,Islam,,3,medium,good,Short_term
45,low,medium,3,Islam,,3,low_medium,good,Short_term
34,medium,high,4,Islam,,1,medium,good,Short_term
49,high,medium,13,Islam,,1,high,good,Short_term
33,high,high,5,Islam,,1,high,good,Short_term
33,medium,medium,8,Islam,,3,high,good,Short_term
24,medium,high,3,Islam,,1,high,good,Short_term
30,low_medium,low_medium,4,Islam,,2,low,good,Short_term
27,low_medium,high,4,Islam,,2,low,good,Short_term
23,high,medium,1,Islam,,2,low_medium,good,Short_term
35,high,high,4,Islam,,1,high,good,Short_term
35,high,high,1,No_Islam,,1,high,good,Short_term
40,high,high,2,No_Islam,TYPE_5,1,high,good,Short_term
29,medium,medium,1,Islam,,3,medium,good,Short_term
33,medium,medium,3,Islam,,3,medium,good,Short_term
36,high,high,6,No_Islam,,1,low_medium,no_good,Short_term
36,high,high,4,No_Islam,,1,high,good,Short_term
41,high,high,1,Islam,,3,medium,good,Short_term
38,medium,high,3,Islam,,3,low_medium,good,Short_term
29,low_medium,high,3,Islam,,3,medium,good,Short_term
19,high,high,1,Islam,,1,medium,good,Short_term
34,low_medium,medium,2,Islam,,2,medium,good,Short_term
26,low_medium,high,3,Islam,,3,high,good,Short_term
22,high,high,1,Islam,,2,medium,good,Short_term
42,high,high,7,Islam,,2,high,good,Short_term
27,medium,high,2,Islam,,3,low_medium,good,Short_term
27,high,high,2,Islam,,1,high,good,Short_term
39,high,medium,1,Islam,TYPE_3,2,low_medium,good,Short_term
21,high,high,1,Islam,,3,low,good,Short_term
36,low_medium,medium,7,Islam,,3,medium,good,Short_term
29,low,low_medium,5,Islam,TYPE_5,1,low_medium,good,Short_term
29,low_medium,medium,4,Islam,,2,low,good,Short_term
22,medium,low_medium,2,Islam,,2,low,good,Short_term
20,low_medium,medium,1,Islam,,2,low,good,Short_term
33,medium,high,4,Islam,TYPE_3,2,high,good,Short_term
27,medium,medium,3,Islam,,2,medium,good,Short_term
25,high,high,3,Islam,,1,high,good,Short_term
25,high,medium,2,Islam,,3,medium,good,Short_term
32,low_medium,medium,4,Islam,,3,low_medium,good,Short_term
39,medium,high,2,Islam,,1,medium,good,Short_term
31,medium,medium,3,Islam,,2,low,no_good,Short_term
26,high,high,4,Islam,,3,high,good,Short_term
30,medium,medium,7,Islam,,3,high,good,Short_term
43,medium,medium,5,Islam,TYPE_4,3,medium,good,Short_term
34,low_medium,high,4,Islam,,3,medium,good,Short_term
43,high,high,3,Islam,,1,high,good,Short_term
32,high,high,3,No_Islam,,1,high,good,Short_term
41,high,high,5,Islam,,1,high,good,Short_term
32,high,high,3,No_Islam,,1,high,good,Short_term
46,high,high,4,Islam,,1,high,good,Short_term
40,medium,high,3,Islam,TYPE_5,1,high,good,Short_term
21,high,high,1,Islam,,2,medium,good,Short_term
32,high,high,3,Islam,,1,high,good,Short_term
25,high,high,1,No_Islam,,3,medium,good,Short_term
24,high,high,1,Islam,,1,medium,good,Short_term
21,low_medium,medium,1,Islam,TYPE_1,3,low_medium,good,Short_term
22,high,high,1,Islam,,3,medium,good,Short_term
32,high,high,4,Islam,,1,medium,good,Short_term
30,high,high,2,Islam,TYPE_5,2,low_medium,good,Short_term
25,low,low_medium,2,Islam,,2,low,good,Short_term
31,medium,medium,6,No_Islam,,3,low,good,Short_term
19,low_medium,high,1,Islam,,2,medium,good,Short_term
33,low_medium,low_medium,7,Islam,TYPE_3,2,medium,good,Short_term
24,low_medium,low_medium,2,Islam,,3,high,good,Short_term
19,medium,medium,3,Islam,,2,medium,good,Short_term
27,low_medium,low_medium,5,Islam,,3,medium,good,Short_term
32,high,high,2,No_Islam,TYPE_1,1,high,good,Short_term
32,high,high,2,Islam,TYPE_4,1,medium,good,Short_term
29,low,medium,5,Islam,,3,medium,good,Short_term
23,medium,high,1,Islam,,2,medium,good,Short_term
34,low_medium,high,7,Islam,,2,medium,good,Short_term
27,low_medium,high,1,Islam,,3,medium,good,Short_term
37,high,high,4,Islam,,3,low_medium,good,Short_term
26,medium,high,4,Islam,,2,medium,good,Short_term
31,low_medium,medium,7,Islam,,3,medium,good,Short_term
44,high,high,11,Islam,,1,high,good,Short_term
35,medium,high,4,Islam,,1,high,good,Short_term
23,high,high,2,Islam,,3,high,good,Short_term
24,low_medium,high,2,Islam,,1,high,good,Short_term
24,high,high,2,Islam,,1,high,good,Short_term
39,high,high,3,Islam,,2,high,good,Short_term
33,medium,high,4,Islam,,3,medium,good,Short_term
24,low_medium,medium,2,Islam,,2,low,good,Short_term
35,high,high,4,Islam,,1,high,good,Short_term
35,high,high,6,Islam,,1,high,good,Short_term
34,high,high,2,Islam,,3,medium,good,Short_term
48,medium,high,3,Islam,,2,medium,good,Short_term
28,high,high,1,Islam,,1,medium,good,Short_term
26,high,high,1,Islam,,3,medium,good,Short_term
43,medium,medium,8,Islam,,1,medium,good,Short_term
28,low_medium,low_medium,5,Islam,TYPE_3,2,high,good,Short_term
22,medium,high,3,Islam,,2,medium,good,Short_term
26,medium,medium,3,Islam,,3,medium,good,Short_term
30,medium,high,4,Islam,,3,medium,good,Short_term
38,high,high,5,Islam,,2,medium,good,Short_term
44,high,high,8,Islam,,2,high,good,Short_term
25,high,high,1,No_Islam,,1,high,good,Short_term
34,high,high,3,Islam,,1,high,good,Short_term
26,high,high,3,Islam,,3,high,good,Short_term
20,high,high,2,Islam,,1,medium,good,Short_term
39,high,high,2,No_Islam,,1,medium,good,Short_term
27,medium,high,4,Islam,,3,medium,good,Short_term
32,high,high,2,Islam,TYPE_1,3,high,good,Short_term
48,medium,high,8,Islam,TYPE_5,1,high,good,Short_term
39,high,medium,4,Islam,,3,high,good,Short_term
37,high,high,3,Islam,TYPE_3,1,high,good,Short_term
33,high,high,2,No_Islam,TYPE_1,1,medium,good,Short_term
32,high,high,3,Islam,TYPE_4,1,high,good,Short_term
25,high,high,2,Islam,,1,medium,good,Short_term
37,high,high,3,Islam,,2,high,good,Short_term
40,high,high,4,Islam,,1,high,good,Short_term
38,high,high,6,Islam,,2,high,good,Short_term
36,high,high,4,Islam,,1,high,good,Short_term
27,medium,medium,3,Islam,,2,low_medium,good,Short_term
22,low,medium,2,Islam,,3,low,good,Short_term
22,low_medium,low_medium,2,Islam,,2,medium,good,Short_term
30,medium,high,3,Islam,,2,medium,good,Short_term
20,low_medium,low_medium,2,Islam,,3,low_medium,no_good,Short_term
34,high,high,2,Islam,,1,high,good,Short_term
31,medium,high,5,Islam,,3,low,good,Short_term
30,medium,medium,3,Islam,TYPE_1,3,low_medium,good,Short_term
44,medium,high,5,Islam,TYPE_1,1,high,good,Short_term
24,medium,medium,3,Islam,TYPE_3,2,low,good,Short_term
19,high,high,2,Islam,,1,high,good,Short_term
28,high,high,5,Islam,,2,high,good,Short_term
27,high,high,1,No_Islam,TYPE_2,1,medium,good,Short_term
29,medium,medium,3,Islam,,2,low,good,Short_term
37,high,high,3,Islam,,2,high,good,Short_term
32,low_medium,low_medium,8,Islam,,2,low,good,Short_term
21,low_medium,low_medium,1,Islam,,4,medium,good,Short_term
33,low_medium,medium,7,Islam,TYPE_3,3,low,good,Short_term
23,low_medium,medium,2,Islam,,3,low,good,Short_term
36,low_medium,low_medium,5,Islam,,3,high,good,Short_term
33,low_medium,high,3,Islam,,3,high,good,Short_term
35,high,high,2,Islam,TYPE_5,1,high,good,Short_term
25,low_medium,medium,4,Islam,,3,medium,good,Short_term
29,low_medium,high,4,Islam,TYPE_3,2,high,good,Short_term
23,medium,medium,1,Islam,,2,low_medium,good,Short_term
19,medium,medium,1,Islam,,2,low,good,Short_term
35,low,low_medium,6,Islam,,2,low_medium,no_good,Short_term
25,medium,medium,3,Islam,,3,low_medium,good,Short_term
40,medium,high,6,Islam,,1,medium,good,Short_term
17,medium,high,1,Islam,,2,low,good,Short_term
25,low_medium,high,3,Islam,,3,medium,good,Short_term
24,medium,medium,1,Islam,,3,low_medium,good,Short_term
23,high,high,1,Islam,,3,medium,good,Short_term
25,low_medium,high,3,Islam,,3,low_medium,good,Short_term
30,low,medium,4,Islam,,3,high,good,Short_term
31,low,low,3,Islam,,4,low_medium,no_good,Short_term
26,medium,high,2,Islam,,3,medium,good,Short_term
28,medium,high,2,Islam,,2,medium,good,Short_term
30,medium,medium,3,Islam,,3,low,good,Short_term
29,medium,high,5,Islam,,1,low_medium,good,Short_term
24,low,medium,4,Islam,,3,medium,good,Short_term
26,medium,high,2,Islam,,1,medium,good,Short_term
25,medium,medium,3,Islam,,3,medium,good,Short_term
35,high,high,3,Islam,,1,high,good,Short_term
22,high,high,1,Islam,TYPE_1,2,high,good,Short_term
19,high,high,1,Islam,,2,high,good,Short_term
29,low_medium,medium,5,Islam,,2,high,good,Short_term
21,medium,high,2,Islam,,3,medium,good,Short_term
21,medium,medium,1,Islam,,3,medium,good,Short_term
41,low,high,9,Islam,,2,low,good,Short_term
37,low_medium,high,3,Islam,,2,medium,good,Short_term
27,high,high,3,Islam,,3,high,no_good,Short_term
26,low_medium,medium,2,Islam,,2,medium,good,Short_term
37,high,high,6,Islam,TYPE_2,3,high,good,Short_term
25,medium,medium,3,Islam,,2,low,good,Short_term
32,high,medium,3,Islam,,2,high,good,Short_term
34,low,high,4,Islam,,3,high,no_good,Short_term
23,high,high,2,Islam,TYPE_1,2,high,good,Short_term
28,medium,high,2,Islam,,3,high,good,Short_term
24,medium,high,1,Islam,,3,high,good,Short_term
32,low_medium,medium,4,Islam,TYPE_5,2,low_medium,good,Short_term
22,low,low_medium,3,Islam,,3,low,no_good,Short_term
25,medium,medium,1,Islam,,2,low,good,Short_term
25,low_medium,medium,2,Islam,,2,high,good,Short_term
38,low_medium,medium,3,Islam,,2,high,good,Short_term
33,low_medium,low_medium,2,Islam,,3,high,good,Short_term
41,high,high,8,Islam,,1,high,good,Short_term
29,medium,medium,4,Islam,,3,high,good,Short_term
22,medium,high,1,Islam,TYPE_3,1,high,good,Short_term
29,medium,medium,6,Islam,,3,medium,good,Short_term
26,medium,high,3,Islam,,3,medium,good,Short_term
28,low_medium,medium,3,Islam,,3,high,good,Short_term
27,high,high,1,No_Islam,,3,high,good,Short_term
29,low_medium,high,2,Islam,,3,low_medium,good,Short_term
24,medium,high,2,Islam,,3,medium,good,Short_term
29,medium,high,3,Islam,,3,low_medium,good,Short_term
38,medium,high,7,Islam,,3,low_medium,good,Short_term
23,medium,low_medium,2,Islam,TYPE_2,3,low_medium,good,Short_term
20,high,medium,1,Islam,,3,high,good,Short_term
32,low,high,4,Islam,,3,low_medium,good,Short_term
25,low_medium,medium,2,Islam,,3,low,good,Short_term
26,low,low_medium,3,Islam,TYPE_2,3,low_medium,good,Short_term
23,low,low_medium,3,Islam,,3,low_medium,no_good,Short_term
23,high,high,3,Islam,,3,medium,good,Short_term
28,medium,high,5,Islam,,2,high,good,Short_term
22,high,high,3,Islam,,3,low_medium,good,Short_term
28,low_medium,high,4,Islam,,3,high,good,Short_term
26,medium,medium,3,Islam,,3,medium,good,Short_term
26,low_medium,medium,2,Islam,,3,medium,good,Short_term
24,high,medium,3,Islam,,3,medium,good,Short_term
29,high,high,3,Islam,TYPE_1,1,high,good,Short_term
29,medium,high,4,Islam,TYPE_3,1,medium,good,Short_term
42,high,high,5,Islam,,1,high,good,Short_term
27,high,high,2,Islam,,3,high,good,Short_term
35,medium,high,5,Islam,,1,high,good,Short_term
21,medium,high,1,Islam,,3,low_medium,good,Short_term
21,low,medium,1,Islam,,3,medium,no_good,Short_term
22,medium,high,1,Islam,,3,medium,good,Short_term
28,medium,medium,4,Islam,,3,medium,good,Short_term
22,medium,high,1,No_Islam,TYPE_4,1,high,good,Short_term
23,medium,low_medium,1,Islam,,3,medium,good,Short_term
28,medium,medium,2,No_Islam,,2,medium,good,Short_term
30,high,high,3,No_Islam,TYPE_2,2,high,good,Short_term
25,medium,high,3,Islam,TYPE_1,3,high,good,Short_term
33,high,high,4,Islam,,2,medium,good,Short_term
33,medium,high,6,Islam,,3,low_medium,good,Short_term
30,high,high,2,No_Islam,TYPE_3,3,medium,good,Short_term
22,low_medium,high,1,Islam,,3,medium,good,Short_term
38,medium,medium,2,No_Islam,,3,high,good,Short_term
35,high,medium,2,No_Islam,,3,high,good,Short_term
34,low_medium,low_medium,4,No_Islam,,3,low_medium,good,Short_term
39,high,high,2,No_Islam,,3,high,good,Short_term
47,high,medium,4,Islam,,1,medium,good,Short_term
38,high,high,2,Islam,TYPE_3,1,high,good,Short_term
43,high,high,5,Islam,,1,high,good,Short_term
21,medium,medium,1,Islam,,2,low_medium,good,Short_term
30,medium,high,2,Islam,,1,low_medium,good,Short_term
27,medium,high,2,Islam,,1,medium,good,Short_term
22,high,high,1,No_Islam,,3,low,good,Short_term
25,low,low_medium,3,Islam,,2,medium,good,Short_term
22,low,medium,2,Islam,,3,low_medium,good,Short_term
28,high,high,4,Islam,,2,medium,good,Short_term
25,medium,medium,2,Islam,,2,medium,good,Short_term
26,high,high,2,Islam,TYPE_4,3,medium,good,Short_term
31,medium,medium,3,Islam,,3,low,no_good,Short_term
32,low,medium,4,Islam,,3,medium,good,Short_term
35,low_medium,high,6,Islam,,3,high,good,Short_term
24,low_medium,medium,5,Islam,,3,medium,good,Short_term
28,high,high,2,Islam,,1,high,good,Short_term
36,high,high,3,No_Islam,TYPE_3,2,high,good,Short_term
47,high,high,5,Islam,,1,medium,good,Short_term
26,high,high,2,Islam,TYPE_2,1,high,good,Short_term
22,medium,high,2,No_Islam,,3,high,good,Short_term
30,high,high,2,Islam,,4,medium,good,Short_term
41,high,high,5,Islam,,1,high,good,Short_term
19,high,high,1,Islam,,3,low_medium,good,Short_term
45,medium,high,2,No_Islam,,3,medium,good,Short_term
35,low,low_medium,5,Islam,,2,low_medium,no_good,Short_term
21,low_medium,low_medium,1,Islam,,3,low_medium,good,Short_term
32,low,low_medium,6,No_Islam,,2,medium,good,Short_term
32,medium,high,5,No_Islam,,3,high,good,Short_term
46,low_medium,medium,6,No_Islam,TYPE_2,3,high,good,Short_term
41,low,low_medium,6,Islam,,3,medium,good,Short_term
36,high,high,3,No_Islam,,3,high,good,Short_term
37,medium,high,3,No_Islam,,3,high,good,Short_term
37,medium,high,4,No_Islam,,2,high,good,Short_term
35,high,high,3,No_Islam,,3,high,good,Short_term
29,low_medium,medium,4,Islam,,3,low_medium,good,Short_term
28,high,high,2,No_Islam,,2,high,good,Short_term
46,high,high,4,No_Islam,,1,high,good,Short_term
34,high,medium,3,No_Islam,,2,high,good,Short_term
43,medium,medium,2,No_Islam,TYPE_4,3,high,good,Short_term
28,high,high,3,No_Islam,TYPE_4,3,high,good,Short_term
28,medium,medium,3,Islam,TYPE_4,2,high,good,Short_term
34,high,high,6,Islam,,2,low_medium,good,Short_term
27,low_medium,high,4,Islam,,3,high,good,Short_term
36,low,medium,6,Islam,,3,low_medium,good,Short_term
17,low_medium,low_medium,0,Islam,TYPE_3,3,low_medium,good,Short_term
21,medium,medium,1,Islam,,3,low_medium,good,Short_term
25,low_medium,low_medium,1,Islam,,3,low,good,Short_term
23,low_medium,medium,2,Islam,TYPE_4,3,low_medium,good,Short_term
25,low_medium,low_medium,1,Islam,,3,medium,good,Short_term
35,low,low_medium,4,Islam,TYPE_3,4,high,good,Short_term
32,medium,high,4,Islam,,3,low_medium,good,Short_term
37,low_medium,medium,5,Islam,,4,low_medium,good,Short_term
31,medium,high,4,Islam,TYPE_3,3,medium,good,Short_term
25,medium,high,3,Islam,,3,high,good,Short_term
26,medium,high,4,Islam,,2,high,good,Short_term
39,low,low_medium,2,Islam,TYPE_2,2,high,good,Short_term
21,medium,medium,2,Islam,,2,medium,good,Short_term
35,medium,low_medium,9,Islam,TYPE_5,3,high,good,Short_term
20,low_medium,low_medium,1,Islam,,3,low_medium,good,Short_term
40,low_medium,medium,5,Islam,,3,medium,good,Short_term
41,medium,medium,7,No_Islam,,2,high,good,Short_term
36,low_medium,high,8,Islam,,1,high,good,Short_term
40,low_medium,high,3,No_Islam,,3,high,good,Short_term
32,high,high,3,Islam,TYPE_1,1,high,good,Short_term
24,medium,high,4,Islam,,2,medium,good,Short_term
20,medium,high,1,No_Islam,,2,high,good,Short_term
32,high,high,4,Islam,TYPE_1,1,high,good,Short_term
22,low_medium,low_medium,3,Islam,TYPE_4,3,medium,good,Short_term
30,medium,medium,4,Islam,TYPE_4,2,low_medium,good,Short_term
31,high,high,3,Islam,TYPE_4,1,high,good,Short_term
35,medium,high,5,Islam,,1,high,good,Short_term
38,high,high,2,Islam,,3,high,good,Short_term
31,high,high,1,Islam,,1,high,good,Short_term
25,high,high,2,Islam,,2,high,good,Short_term
30,high,high,2,Islam,,1,high,good,Short_term
22,low,low_medium,2,Islam,,3,high,good,Short_term
31,high,high,3,Islam,,1,high,good,Short_term
29,high,high,3,Islam,,3,high,good,Short_term
29,low_medium,medium,3,Islam,TYPE_4,3,low_medium,good,Short_term
38,high,high,3,No_Islam,TYPE_4,3,medium,no_good,Short_term
22,medium,high,2,Islam,,2,high,good,Short_term
45,high,high,3,Islam,,1,high,good,Short_term
26,medium,high,3,Islam,,3,low_medium,good,Short_term
37,high,high,3,No_Islam,,3,high,good,Short_term
36,high,high,3,No_Islam,,2,high,good,Short_term
33,high,high,2,Islam,,2,high,good,Short_term
32,high,high,3,Islam,TYPE_5,1,high,good,Short_term
35,high,high,4,No_Islam,TYPE_5,1,high,good,Short_term
25,high,high,1,Islam,,1,high,good,Short_term
31,high,high,3,Islam,,4,high,good,Short_term
25,low_medium,medium,5,Islam,,2,medium,good,Short_term
26,medium,low_medium,5,Islam,,2,low_medium,good,Short_term
23,low_medium,medium,3,Islam,,2,medium,good,Short_term
28,medium,high,3,Islam,,1,high,good,Short_term
34,medium,high,3,No_Islam,TYPE_4,3,high,good,Short_term
46,medium,high,9,Islam,,3,high,good,Short_term
25,high,high,1,Islam,,1,high,good,Short_term
21,low_medium,low,3,Islam,TYPE_3,3,low,no_good,Short_term
25,low_medium,medium,4,Islam,TYPE_5,3,low_medium,good,Short_term
28,low_medium,medium,6,Islam,,2,high,good,Short_term
